DataHora,Jogador,ATT,TEC,TAC,DEF,CRE,Aba,Ano_Temporada,Competicao,Categoria,Colunas_Metricas,Valores
2026-09-15T18:15:49.046Z,Thiago Ocampo,58,76,27,30,49,Temporada,2026,Primera Nacional,Resumo da Temporada,JOGOS | MINUTOS POR JOGO | GOLS | ASSISTÊNCIAS,25 | 72 | 4 | 3
2026-09-15T18:15:49.117Z,Thiago Ocampo,58,76,27,30,49,Temporada,2026,Primera Nacional,Partidas,Temporada | tournaments | seasons | JOGOS | MINUTOS POR JOGO | GOLS | ASSISTÊNCIAS | Média das notas Sofascore | 1 de ago. | 17 de ago. | 29 de ago. | Mapa de calor da temporada | 25 | 20 | 72 | 1788 | Gols | Frequência de gols (em minutos) | Gols por partida | Finalizações | Chutes certos por jogo | Conversão de gols | Gols de pênalti | Conversão de pênaltis | Passe | 3 | 0.8 | 8.1 (59%) | 0.4 (45%) | 0.8 (25%) | Bolas recuperadas por jogo | Driblado por jogo | Cortes por jogo | Erros que levaram à finalização | Outros (por partida) | 3.4 (53%) | 7.6 (40%) | 0.1 (13%) | 1.8 | 0.8 | 0.1 | Amarelo | Vermelho (2 amarelos) | Verm.,Carreira | Primera Nacional | 2026 | 25 | 72 | 4 | 3 | 25 de jul. | 9 de ago. | 22 de ago. | 7 de set. | Jogos | Titular | Minutos por jogo | Total de minutos jogados | Atacando | 4 | 447min | 0.2 | 1.9 | 0.5 | 9% | 0/0 | 0% | Assistências | Passes decisivos | Passes certos | Bolas longas (certos) | Cruzamentos certos | Defendendo | 2.4 | 0.6 | 0.4 | 4 | Dribles certos | Disputas de bola vencidas | Duelos aéreos ganhos | Faltas por jogo | Faltas sofridas | Impedimentos | Cartões | 5 | 0 | 0
2026-09-15T18:15:49.171Z,Thiago Ocampo,58,76,27,30,49,Temporada,2026,Primera Nacional,Atacando,Gols | Frequência de gols (em minutos) | Gols por partida | Finalizações | Chutes certos por jogo | Conversão de gols | Gols de pênalti | Conversão de pênaltis,4 | 447min | 0.2 | 1.9 | 0.5 | 9% | 0/0 | 0%
2026-09-15T18:15:49.223Z,Thiago Ocampo,58,76,27,30,49,Temporada,2026,Primera Nacional,Passe,Assistências | Passes decisivos | Passes certos | Bolas longas (certos) | Cruzamentos certos,3 | 0.8 | 8.1 (59%) | 0.4 (45%) | 0.8 (25%)
2026-09-15T18:15:49.298Z,Thiago Ocampo,58,76,27,30,49,Temporada,2026,Primera Nacional,Defendendo,Bolas recuperadas por jogo | Driblado por jogo | Cortes por jogo | Erros que levaram à finalização,2.4 | 0.6 | 0.4 | 4
2026-09-15T18:15:49.363Z,Thiago Ocampo,58,76,27,30,49,Temporada,2026,Primera Nacional,Outros (por partida),Dribles certos | Disputas de bola vencidas | Duelos aéreos ganhos | Faltas por jogo | Faltas sofridas | Impedimentos,3.4 (53%) | 7.6 (40%) | 0.1 (13%) | 1.8 | 0.8 | 0.1
2026-09-15T18:15:49.421Z,Thiago Ocampo,58,76,27,30,49,Temporada,2026,Primera Nacional,Cartões,Amarelo | Vermelho (2 amarelos) | Verm.,5 | 0 | 0
2026-09-15T18:15:55.322Z,André Clóvis,66,50,51,38,38,Temporada,26/27,Liga Portugal Betclic,Resumo da Temporada,JOGOS | MINUTOS POR JOGO | GOLS | GOLS ESPERADOS (XG) | ASSISTÊNCIAS,6 | 76 | 2 | 1.78 | 0
2026-09-15T18:15:55.417Z,André Clóvis,66,50,51,38,38,Temporada,26/27,Liga Portugal Betclic,Partidas,Temporada | tournaments | seasons | JOGOS | MINUTOS POR JOGO | GOLS | GOLS ESPERADOS (XG) | ASSISTÊNCIAS | Média das notas Sofascore | 15 de ago. | 29 de ago. | 12 de set. | Jogos | Titular | Minutos por jogo | Total de minutos jogados | Time da semana | Desempenho de corrida (por 90) | 9.7 km | 11.6 | 33.2 km/h | Gols | Gols esperados (xG) | Frequência de gols (em minutos) | Gols por partida | Finalizações | Chutes certos por jogo | Grandes chances perdidas | Conversão de gols | Gols de pênalti | Conversão de pênaltis | Gols de falta | Eficácia de gols de falta | Gols de dentro da área | Gols de fora da área | Gols de cabeça | Gols com a perna esquerda | Gols com a perna direita | Pênalti sofrido | Passe | 0 | 0.07 | 18.0 | 0 | 0.3 | 5.7 (71%) | 2.2 (76%) | 3.5 (68%) | 0.3 (50%) | 0.3 (40%) | 0.0 (0%) | Interceptações | Desarmes por jogo | Bolas recuperadas no ataque | Bolas recuperadas por jogo | Driblado por jogo | Cortes por jogo | Chutes bloqueados por jogo | Erros que levaram à finalização | Erros que levaram ao gol | Pênaltis cometidos | Outros (por partida) | 0.2 (50%) | 2.2 (28%) | 1.3 (32%) | 0.8 (23%) | 6.2 | 1.0 | 1.2 | 0.5 | Amarelo | Vermelho (2 amarelos) | Verm.,Carreira | Liga Portugal Betclic | 26/27 | 6 | 76 | 2 | 1.78 | 0 | 9 de ago. | 22 de ago. | 6 de set. | Mapa de calor da temporada | 6 | 6 | 76 | 457 | 0 | Distância percorrida | Número de sprints | Velocidade máxima | Atacando | 2 | 1.78 | 229min | 0.3 | 1.8 | 0.8 | 2 | 18% | 0/0 | 0% | 0/0 | 0% | 2/10 | 0/1 | 1 | 0 | 1 | 0 | Assistências | Assistências Esperadas (xA) | Ações com a bola | Grandes chances criadas | Passes decisivos | Passes certos | Passes no próprio campo | Passes certos no terço final | Bolas longas (certos) | Passes tensos certos | Cruzamentos certos | Defendendo | 0.2 | 0.2 | 0.2 | 1.2 | 0.2 | 0.8 | 0.0 | 0 | 0 | 0 | Dribles certos | Disputas de bola vencidas | Duelos ganhos pelo chão | Duelos aéreos ganhos | Perda da posse de bola | Faltas por jogo | Faltas sofridas | Impedimentos | Cartões | 1 | 0 | 0
2026-09-15T18:15:55.482Z,André Clóvis,66,50,51,38,38,Temporada,26/27,Liga Portugal Betclic,Desempenho de corrida (por 90),Distância percorrida | Número de sprints | Velocidade máxima,9.7 km | 11.6 | 33.2 km/h
