DataHora,Jogador,Categoria,Ano_Temporada,Competicao,Colunas_Metricas,Valores
2026-09-15T12:31:06.478Z,André Clóvis,Defendendo,23/24,Liga Portugal 2,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,33 | 3 | 4 | 1 | 0 | 8 | 16 | 8 | 3 | 49
2026-09-15T12:31:06.527Z,André Clóvis,Defendendo,22/23,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,4 | 0 | 2 | 0 | 0 | 0 | 2 | 0 | - | 8
2026-09-15T12:31:06.571Z,André Clóvis,Defendendo,22/23,Liga Portugal 2,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,2 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | - | 5
2026-09-15T12:31:06.610Z,André Clóvis,Defendendo,22/23,Taça da Liga,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,2 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | - | 3
2026-09-15T12:31:06.661Z,André Clóvis,Defendendo,21/22,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,23 | 0 | 0 | 0 | 0 | 4 | 5 | 6 | 2 | 20
2026-09-15T12:31:06.694Z,André Clóvis,Defendendo,21/22,Liga Portugal Betclic,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,23 | 0 | 0 | 0 | 0 | 4 | 5 | 6 | 2 | 20
2026-09-15T12:31:06.744Z,André Clóvis,Defendendo,20/21,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | - | 3
2026-09-15T12:31:06.803Z,André Clóvis,Defendendo,20/21,Taça de Portugal,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | - | 3
2026-09-15T12:31:06.835Z,André Clóvis,Defendendo,17/18,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | - | -
2026-09-15T12:31:06.893Z,André Clóvis,Defendendo,17/18,Liga Portugal Betclic,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | - | -
